unity_timestamp_s,eye_timestamp_ns,Main_Camera_local_position_x,Main_Camera_local_position_y,Main_Camera_local_position_z,Main_Camera_local_rotation_x,Main_Camera_local_rotation_y,Main_Camera_local_rotation_z,Main_Camera_local_rotation_w,Checkerboard_Stimulus_world_position_x,Checkerboard_Stimulus_world_position_y,Checkerboard_Stimulus_world_position_z,Checkerboard_Stimulus_world_rotation_x,Checkerboard_Stimulus_world_rotation_y,Checkerboard_Stimulus_world_rotation_z,Checkerboard_Stimulus_world_rotation_w,message
5.2603040062,1001209355663928600,-1.1082960000,1.1759120000,-0.0055285820,0.0765390200,0.1352665000,0.0045098530,0.9878383000,-0.8403630000,1.0259160000,0.9461610000,0.0765390200,0.1352665000,0.0045098540,0.9878383000,RecordingStarted|SessionStart;participant=pilot_ys;session=checkerboard_pilot;seed=20260901;planned_trials=105;utc=2026-09-04T13:44:29.8423659Z;mapping=visual-space-l-tangent-normalized-cartesian-grid-v2|StimulusHidden;visual_space_l=1.400;fov_deg=90.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.400;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.400;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.200;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.200;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|FixationAcquisitionStart;sequence=1;attempt=1
5.2705369062,1001209355674001000,-1.1082800000,1.1759060000,-0.0055347840,0.0764246900,0.1353388000,0.0045182780,0.9878372000,-0.8402036000,1.0261380000,0.9461506000,0.0764246900,0.1353388000,0.0045182770,0.9878372000,
5.2819402062,1001209355689026200,-1.1080600000,1.1765700000,-0.0052150640,0.0764372800,0.1353656000,0.0045485090,0.9878324000,-0.8399279000,1.0267870000,0.9464520000,0.0764372800,0.1353656000,0.0045485090,0.9878324000,
5.2934208062,1001209355699043000,-1.1080410000,1.1765660000,-0.0052164120,0.0763791100,0.1353901000,0.0045378570,0.9878336000,-0.8398618000,1.0268950000,0.9464551000,0.0763791100,0.1353901000,0.0045378590,0.9878336000,
5.3060579062,1001209355714057700,-1.1078600000,1.1771340000,-0.0049292760,0.0763499700,0.1354107000,0.0045433170,0.9878330000,-0.8396399000,1.0275220000,0.9467400000,0.0763499700,0.1354107000,0.0045433180,0.9878330000,
5.3159578062,1001209355719066100,-1.1078500000,1.1771270000,-0.0049313450,0.0764140000,0.1354002000,0.0045138090,0.9878296000,-0.8396552000,1.0273810000,0.9467241000,0.0764140100,0.1354003000,0.0045138080,0.9878296000,
5.3267749062,1001209355734133500,-1.1076980000,1.1776130000,-0.0046787910,0.0764278400,0.1353894000,0.0045046000,0.9878300000,-0.8395261000,1.0278370000,0.9469782000,0.0764278500,0.1353895000,0.0045046010,0.9878300000,
5.3379859062,1001209355744157700,-1.1076980000,1.1775870000,-0.0046774190,0.0765017800,0.1353642000,0.0044970630,0.9878278000,-0.8395772000,1.0276640000,0.9469706000,0.0765017900,0.1353642000,0.0044970630,0.9878278000,
5.3484722062,1001209355754174600,-1.1075540000,1.1780590000,-0.0044513350,0.0766198400,0.1353117000,0.0045065130,0.9878258000,-0.8395350000,1.0279040000,0.9471890000,0.0766198400,0.1353117000,0.0045065150,0.9878258000,
5.3599394062,1001209355764179900,-1.1075550000,1.1780410000,-0.0044497000,0.0766910800,0.1352586000,0.0044864970,0.9878277000,-0.8396428000,1.0277400000,0.9471974000,0.0766910800,0.1352586000,0.0044864960,0.9878277000,
5.3710915062,1001209355779258300,-1.1074530000,1.1784660000,-0.0042232180,0.0767954100,0.1351627000,0.0044166000,0.9878330000,-0.8397384000,1.0279380000,0.9474438000,0.0767954200,0.1351627000,0.0044166040,0.9878330000,
5.3816813062,1001209355789318500,-1.1074630000,1.1784470000,-0.0042236080,0.0768043400,0.1351079000,0.0043646930,0.9878401000,-0.8398625000,1.0278860000,0.9474703000,0.0768043400,0.1351079000,0.0043646960,0.9878401000,
5.4049172062,1001209355814315100,-1.1073230000,1.1788440000,-0.0040498030,0.0769413700,0.1349506000,0.0043193400,0.9878511000,-0.8400362000,1.0279970000,0.9476870000,0.0769413800,0.1349506000,0.0043193400,0.9878511000,
5.4276669062,1001209355834445500,-1.1071650000,1.1792660000,-0.0038660500,0.0768909600,0.1349177000,0.0044002820,0.9878591000,-0.8399284000,1.0285390000,0.9479039000,0.0768909800,0.1349178000,0.0044002830,0.9878591000,
5.4497308062,1001209355854399600,-1.1070550000,1.1796440000,-0.0036873520,0.0767837400,0.1349680000,0.0043226250,0.9878610000,-0.8397317000,1.0291070000,0.9480884000,0.0767837500,0.1349680000,0.0043226270,0.9878610000,
5.4718477062,1001209355879480700,-1.1069590000,1.1799570000,-0.0035368600,0.0767564000,0.1350834000,0.0041693500,0.9878479000,-0.8394356000,1.0294360000,0.9481850000,0.0767564000,0.1350834000,0.0041693500,0.9878479000,
5.4944131062,1001209355899545100,-1.1068370000,1.1802980000,-0.0033669620,0.0766820700,0.1352625000,0.0042959950,0.9878287000,-0.8389461000,1.0299620000,0.9482809000,0.0766820800,0.1352625000,0.0042959940,0.9878287000,
5.5055398062,1001209355909563100,-1.1068010000,1.1805110000,-0.0032622400,0.0767260300,0.1353954000,0.0044012110,0.9878066000,-0.8386368000,1.0301210000,0.9483002000,0.0767260400,0.1353954000,0.0044012130,0.9878066000,
5.5165605062,1001209355924598200,-1.1068020000,1.1805320000,-0.0032404800,0.0766128500,0.1354600000,0.0044962290,0.9878061000,-0.8384967000,1.0303930000,0.9483216000,0.0766128500,0.1354600000,0.0044962290,0.9878061000,
5.5283369062,1001209355934586800,-1.1067580000,1.1807240000,-0.0030975840,0.0766262400,0.1354965000,0.0046304750,0.9877995000,-0.8383616000,1.0305960000,0.9484406000,0.0766262500,0.1354965000,0.0046304750,0.9877994000,
5.5396593062,1001209355944640900,-1.1067630000,1.1807240000,-0.0030705480,0.0765701000,0.1354924000,0.0047107320,0.9878039000,-0.8383620000,1.0307280000,0.9484871000,0.0765701100,0.1354924000,0.0047107340,0.9878039000,
5.5507131062,1001209355954660400,-1.1067220000,1.1808740000,-0.0029899150,0.0766045100,0.1354925000,0.0047500430,0.9878011000,-0.8383149000,1.0308210000,0.9485571000,0.0766045200,0.1354925000,0.0047500430,0.9878011000,
5.5620482062,1001209355969675700,-1.1067220000,1.1809100000,-0.0029497910,0.0766280900,0.1354519000,0.0047235420,0.9878049000,-0.8383977000,1.0308020000,0.9486121000,0.0766280900,0.1354519000,0.0047235430,0.9878049000,
5.5732152062,1001209355979705300,-1.1067050000,1.1809750000,-0.0028948600,0.0766181000,0.1353632000,0.0046963900,0.9878180000,-0.8385572000,1.0308770000,0.9487181000,0.0766180800,0.1353632000,0.0046963910,0.9878180000,TrialStart;presentation=1;sequence=1;condition=1;repetition=14;attempt=1;eye=BothEyes;fov_deg=60.000;edge_softness_deg=3.230;circular_aperture=True;grid_spacing_deg=10.000;grid_spacing_uv=0.305407;visual_space_l=1.2000;content_zoom=1.0000|StimulusPresented;visual_space_l=1.200;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes
5.5844370062,1001209355989731800,-1.1067320000,1.1809750000,-0.0028685940,0.0766781100,0.1353041000,0.0046603280,0.9878216000,-0.8387048000,1.0307470000,0.9487579000,0.0766781100,0.1353041000,0.0046603300,0.9878216000,
5.5947234062,1001209355999726500,-1.1066990000,1.1810880000,-0.0028025370,0.0765889700,0.1351778000,0.0046269150,0.9878460000,-0.8389206000,1.0310230000,0.9489197000,0.0765889700,0.1351778000,0.0046269130,0.9878460000,
5.6064874062,1001209356014806400,-1.1067010000,1.1811120000,-0.0027729820,0.0765772900,0.1350839000,0.0045317630,0.9878602000,-0.8391195000,1.0310410000,0.9490036000,0.0765772900,0.1350839000,0.0045317670,0.9878602000,
5.6169648062,1001209356024821600,-1.1066520000,1.1811950000,-0.0027449350,0.0765001900,0.1349977000,0.0044756290,0.9878782000,-0.8392445000,1.0312580000,0.9491017000,0.0765002000,0.1349977000,0.0044756260,0.9878782000,
5.6285467062,1001209356034836800,-1.1066690000,1.1811840000,-0.0027250820,0.0765084000,0.1349203000,0.0043965700,0.9878885000,-0.8394240000,1.0312060000,0.9491609000,0.0765084200,0.1349203000,0.0043965720,0.9878885000,
5.6394094062,1001209356044870600,-1.1066220000,1.1812880000,-0.0026870650,0.0765338000,0.1348981000,0.0043532330,0.9878898000,-0.8394270000,1.0312480000,0.9492031000,0.0765337900,0.1348981000,0.0043532330,0.9878898000,
5.6510811062,1001209356059921400,-1.1066180000,1.1812680000,-0.0026752140,0.0765568900,0.1348290000,0.0043140740,0.9878976000,-0.8395628000,1.0311700000,0.9492451000,0.0765569100,0.1348291000,0.0043140750,0.9878976000,
5.6615631062,1001209356070014000,-1.1065740000,1.1813790000,-0.0026449340,0.0766983600,0.1349035000,0.0042684060,0.9878767000,-0.8393832000,1.0309930000,0.9491919000,0.0766983600,0.1349035000,0.0042684080,0.9878767000,
5.6721601062,1001209356080031400,-1.1065620000,1.1813540000,-0.0026314580,0.0766677100,0.1349356000,0.0042640330,0.9878746000,-0.8393091000,1.0310280000,0.9491974000,0.0766677100,0.1349356000,0.0042640350,0.9878746000,
5.6830673062,1001209356090063800,-1.1065180000,1.1814640000,-0.0026143040,0.0767602400,0.1350279000,0.0042618910,0.9878548000,-0.8390880000,1.0309590000,0.9491364000,0.0767602400,0.1350279000,0.0042618920,0.9878548000,
5.6947147062,1001209356100017700,-1.1065100000,1.1814510000,-0.0025898990,0.0767311100,0.1351626000,0.0042715790,0.9878387000,-0.8388169000,1.0310100000,0.9490969000,0.0767311200,0.1351626000,0.0042715820,0.9878386000,
5.7057096062,1001209356110036900,-1.1064870000,1.1815560000,-0.0025609730,0.0767949100,0.1353060000,0.0042579030,0.9878141000,-0.8385185000,1.0309900000,0.9490287000,0.0767949200,0.1353060000,0.0042579000,0.9878141000,
5.7169058062,1001209356125069600,-1.1064790000,1.1815570000,-0.0025408310,0.0768231200,0.1354060000,0.0042861460,0.9877981000,-0.8383130000,1.0309460000,0.9489860000,0.0768231200,0.1354060000,0.0042861450,0.9877981000,
5.7282625062,1001209356135120000,-1.1064500000,1.1816660000,-0.0025254490,0.0768278000,0.1354499000,0.0042740870,0.9877918000,-0.8382006000,1.0310440000,0.9489762000,0.0768278000,0.1354499000,0.0042740870,0.9877918000,
5.7396575062,1001209356145159300,-1.1064650000,1.1816740000,-0.0024929180,0.0768417000,0.1355552000,0.0042614990,0.9877763000,-0.8380134000,1.0310240000,0.9489474000,0.0768416900,0.1355552000,0.0042614980,0.9877763000,
5.7502565062,1001209356155154900,-1.1064520000,1.1817560000,-0.0024560730,0.0767682000,0.1355925000,0.0043176330,0.9877766000,-0.8379194000,1.0312670000,0.9489866000,0.0767682000,0.1355925000,0.0043176350,0.9877766000,
5.7619119062,1001209356170135400,-1.1064540000,1.1817760000,-0.0024201450,0.0767564000,0.1355446000,0.0043135520,0.9877841000,-0.8380144000,1.0313080000,0.9490521000,0.0767564000,0.1355446000,0.0043135510,0.9877841000,
5.7723415062,1001209356180200700,-1.1064490000,1.1818490000,-0.0023625060,0.0766948100,0.1355419000,0.0043646100,0.9877891000,-0.8380061000,1.0315160000,0.9491301000,0.0766948100,0.1355419000,0.0043646120,0.9877891000,
5.7847120062,1001209356190320000,-1.1064600000,1.1818760000,-0.0023420520,0.0766245300,0.1355077000,0.0044349080,0.9877989000,-0.8380721000,1.0316980000,0.9491906000,0.0766245400,0.1355077000,0.0044349090,0.9877989000,
5.7955556062,1001209356205300000,-1.1064770000,1.1819070000,-0.0023302570,0.0766840200,0.1354441000,0.0044289040,0.9878030000,-0.8382134000,1.0316090000,0.9492187000,0.0766840300,0.1354441000,0.0044289060,0.9878030000,
5.8069878062,1001209356215322000,-1.1065000000,1.1818880000,-0.0022999970,0.0766411300,0.1353759000,0.0044611140,0.9878156000,-0.8383636000,1.0316820000,0.9492990000,0.0766411300,0.1353759000,0.0044611150,0.9878156000,
5.8181907062,1001209356225320700,-1.1064510000,1.1820020000,-0.0023384010,0.0767994700,0.1353469000,0.0044673090,0.9878072000,-0.8383719000,1.0314850000,0.9492277000,0.0767994700,0.1353469000,0.0044673090,0.9878072000,
5.8289874062,1001209356235367700,-1.1064670000,1.1819770000,-0.0023161990,0.0767491800,0.1352605000,0.0044557010,0.9878230000,-0.8385566000,1.0315530000,0.9493122000,0.0767491800,0.1352604000,0.0044556990,0.9878230000,
5.8399465062,1001209356245413800,-1.1064300000,1.1820660000,-0.0023363450,0.0768866700,0.1352251000,0.0044413480,0.9878172000,-0.8385922000,1.0313670000,0.9492689000,0.0768866700,0.1352251000,0.0044413500,0.9878172000,
5.8511919062,1001209356255425200,-1.1064430000,1.1820450000,-0.0023143750,0.0768127100,0.1351353000,0.0044864610,0.9878351000,-0.8387712000,1.0315010000,0.9493622000,0.0768127100,0.1351353000,0.0044864620,0.9878351000,
5.8625154062,1001209356270443700,-1.1064200000,1.1821380000,-0.0023125220,0.0768608500,0.1350977000,0.0044733680,0.9878365000,-0.8388238000,1.0314950000,0.9493695000,0.0768608500,0.1350977000,0.0044733690,0.9878365000,
5.8737536062,1001209356280437800,-1.1064330000,1.1821260000,-0.0022836790,0.0768167000,0.1350171000,0.0045158430,0.9878508000,-0.8389859000,1.0315790000,0.9494554000,0.0768167000,0.1350172000,0.0045158430,0.9878508000,
5.8845986062,1001209356290483000,-1.1064010000,1.1822180000,-0.0022758170,0.0768162800,0.1350047000,0.0045562750,0.9878523000,-0.8389714000,1.0316820000,0.9494702000,0.0768162800,0.1350047000,0.0045562740,0.9878523000,
5.8958511062,1001209356300546200,-1.1064100000,1.1822230000,-0.0022450390,0.0768379600,0.1349406000,0.0045748730,0.9878593000,-0.8391027000,1.0316470000,0.9495289000,0.0768379700,0.1349405000,0.0045748710,0.9878594000,
5.9069325062,1001209356315609700,-1.1063810000,1.1823050000,-0.0022934670,0.0767989400,0.1348661000,0.0046427870,0.9878722000,-0.8392065000,1.0318220000,0.9495326000,0.0767989500,0.1348661000,0.0046427870,0.9878722000,
5.9180722062,1001209356325645200,-1.1063980000,1.1823130000,-0.0022644070,0.0768585900,0.1348718000,0.0046809360,0.9878666000,-0.8392081000,1.0317230000,0.9495403000,0.0768585900,0.1348718000,0.0046809350,0.9878666000,
5.9292073062,1001209356335558000,-1.1063800000,1.1823650000,-0.0023019100,0.0768372100,0.1348045000,0.0047157720,0.9878773000,-0.8393146000,1.0318250000,0.9495457000,0.0768372100,0.1348045000,0.0047157720,0.9878773000,
5.9406540062,1001209356345603200,-1.1063980000,1.1823620000,-0.0022764530,0.0768879600,0.1348376000,0.0047376910,0.9878687000,-0.8392662000,1.0317290000,0.9495377000,0.0768879600,0.1348376000,0.0047376940,0.9878687000,
5.9519092062,1001209356355635100,-1.1063650000,1.1823860000,-0.0023151160,0.0768671000,0.1348134000,0.0047270120,0.9878737000,-0.8392808000,1.0317900000,0.9495185000,0.0768671200,0.1348134000,0.0047270120,0.9878737000,
5.9630404062,1001209356370708100,-1.1063720000,1.1823850000,-0.0022919560,0.0768859900,0.1348462000,0.0046945330,0.9878680000,-0.8392301000,1.0317450000,0.9495181000,0.0768860100,0.1348462000,0.0046945340,0.9878680000,
5.9741888062,1001209356380734500,-1.1063490000,1.1824630000,-0.0023155180,0.0769005900,0.1348721000,0.0046759910,0.9878634000,-0.8391590000,1.0317900000,0.9494761000,0.0769006100,0.1348722000,0.0046759940,0.9878634000,
5.9851729062,1001209356390700500,-1.1063350000,1.1824770000,-0.0023006350,0.0768475000,0.1348999000,0.0047467540,0.9878634000,-0.8390800000,1.0319280000,0.9494923000,0.0768475200,0.1348999000,0.0047467570,0.9878634000,
5.9966890062,1001209356400849400,-1.1063150000,1.1825320000,-0.0023024110,0.0769079200,0.1349760000,0.0047798760,0.9878481000,-0.8389081000,1.0318750000,0.9494309000,0.0769079300,0.1349760000,0.0047798780,0.9878481000,
6.0079907062,1001209356415773700,-1.1063000000,1.1825200000,-0.0022766630,0.0768666900,0.1349736000,0.0048468360,0.9878513000,-0.8388872000,1.0319630000,0.9494706000,0.0768666900,0.1349736000,0.0048468380,0.9878513000,
6.0185491062,1001209356425825100,-1.1062820000,1.1825790000,-0.0022880230,0.0769467100,0.1350020000,0.0048690250,0.9878411000,-0.8388113000,1.0318710000,0.9494193000,0.0769467100,0.1350020000,0.0048690270,0.9878411000,
6.0298607062,1001209356435825600,-1.1062680000,1.1825770000,-0.0022640630,0.0769636800,0.1349971000,0.0048684730,0.9878404000,-0.8388073000,1.0318360000,0.9494407000,0.0769636900,0.1349971000,0.0048684730,0.9878404000,
