participant_id,session_label,session_start_utc,random_seed,mapping_version,presentation_index,sequence_index,total_planned_trials,condition_index,repetition,attempt_number,trial_start_utc,trial_start_unity_s,trial_end_unity_s,response_time_s,eye_presentation,angular_diameter_deg,aperture_edge_softness_deg,circular_aperture_enabled,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,response,valid_for_analysis,fixation_sample_valid,fixation_inside_tolerance,fixation_angle_deg,continuous_fixation_s,fixation_valid_sample_fraction,longest_off_target_s,longest_invalid_gaze_s,status
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,1,1,105,1,14,1,2026-09-04T13:44:30.1681816Z,5.5624693062363804,6.7549805062362793,1.192511199999899,BothEyes,60,3.23000002,1,10,0.305407286,1.20000005,1,-0.40000009536743164,Convex,1,1,1,1.07792664,1.18117619,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,2,2,105,7,14,1,2026-09-04T13:44:32.1925170Z,7.5874742062369478,8.1545445062365616,0.56707029999961378,BothEyes,60,3.23000002,1,10,0.305407286,0.200000003,1,1.5999999940395355,Concave,1,1,1,0.931252241,0.555709302,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,3,3,105,6,11,1,2026-09-04T13:44:33.5929223Z,8.987255606236431,9.6304740062369092,0.64321840000047814,BothEyes,60,3.23000002,1,10,0.305407286,0.400000006,1,1.199999988079071,Concave,1,1,1,1.10659122,0.631827652,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,4,4,105,3,6,1,2026-09-04T13:44:35.0597259Z,10.45397500623676,11.943116806236503,1.4891417999997429,BothEyes,60,3.23000002,1,10,0.305407286,0.800000012,1,0.39999997615814209,Concave,1,1,1,1.35883534,1.47728062,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,5,5,105,4,12,1,2026-09-04T13:44:37.3816776Z,12.776242306236782,13.643176806236625,0.86693449999984296,BothEyes,60,3.23000002,1,10,0.305407286,0.600000024,1,0.79999995231628418,Concave,1,1,1,1.22349346,0.855780125,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,6,6,105,6,7,1,2026-09-04T13:44:39.0817617Z,14.475994706236634,15.398608706236701,0.92261400000006688,BothEyes,60,3.23000002,1,10,0.305407286,0.400000006,1,1.199999988079071,Concave,1,1,1,1.05758429,0.910877347,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,7,7,105,7,7,1,2026-09-04T13:44:40.8378053Z,16.232586606236509,17.298577506236143,1.0659908999996333,BothEyes,60,3.23000002,1,10,0.305407286,0.200000003,1,1.5999999940395355,Concave,1,1,1,1.01046288,1.05520117,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,8,8,105,4,3,1,2026-09-04T13:44:42.7273438Z,18.121620206236912,19.599072606236405,1.4774523999994926,BothEyes,60,3.23000002,1,10,0.305407286,0.600000024,1,0.79999995231628418,Concave,1,1,1,0.921323478,1.46694565,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,9,9,105,3,8,1,2026-09-04T13:44:45.0348038Z,20.429735606236136,22.532570706236584,2.1028351000004477,BothEyes,60,3.23000002,1,10,0.305407286,0.800000012,1,0.39999997615814209,Concave,1,1,1,0.890434086,2.09158444,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,10,10,105,1,10,1,2026-09-04T13:44:47.9697181Z,23.364272806236841,24.360231706236846,0.99595890000000509,BothEyes,60,3.23000002,1,10,0.305407286,1.20000005,1,-0.40000009536743164,Convex,1,1,1,0.834390819,0.984489322,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,11,11,105,3,4,1,2026-09-04T13:44:49.7884951Z,25.182971206236289,26.028154806236671,0.84518360000038228,BothEyes,60,3.23000002,1,10,0.305407286,0.800000012,1,0.39999997615814209,Concave,1,1,1,0.915784717,0.833820283,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,12,12,105,2,14,1,2026-09-04T13:44:51.4482138Z,26.842818006236485,28.454879306236762,1.6120613000002777,BothEyes,60,3.23000002,1,10,0.305407286,1,1,0,Concave,1,1,1,1.0631206,1.60101247,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,13,13,105,7,2,1,2026-09-04T13:44:53.8929288Z,29.287222806236059,32.299471306236228,3.0122485000001689,BothEyes,60,3.23000002,1,10,0.305407286,0.200000003,1,1.5999999940395355,Concave,1,1,1,1.23352849,3.00060201,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,14,14,105,5,8,1,2026-09-04T13:44:57.7374567Z,33.13165170623688,33.954590806236411,0.8229390999995303,BothEyes,60,3.23000002,1,10,0.305407286,0.5,1,1,Concave,1,1,1,1.0222075,0.811669588,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,15,15,105,4,14,1,2026-09-04T13:44:59.3919619Z,34.787076706236803,36.310009606236235,1.5229328999994323,BothEyes,60,3.23000002,1,10,0.305407286,0.600000024,1,0.79999995231628418,None,0,1,0,6.59290838,0,1,0.155727312,0,invalid_fixation:off_target
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,16,16,105,1,5,1,2026-09-04T13:45:01.7372954Z,37.131929606236554,37.821258506236518,0.68932889999996405,BothEyes,60,3.23000002,1,10,0.305407286,1.20000005,1,-0.40000009536743164,Convex,1,1,1,1.70237875,0.67824775,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,17,17,105,3,9,1,2026-09-04T13:45:03.2601023Z,38.654828406236447,39.73270200623665,1.0778736000002027,BothEyes,60,3.23000002,1,10,0.305407286,0.800000012,1,0.39999997615814209,Concave,1,1,1,1.19025445,1.06662858,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,18,18,105,2,1,1,2026-09-04T13:45:05.1716061Z,40.565863506236383,41.321441906236942,0.75557840000055876,BothEyes,60,3.23000002,1,10,0.305407286,1,1,0,Convex,1,1,1,1.2370137,0.744352221,1,0,0,valid
pilot_ys,checkerboard_pilot,2026-09-04T13:44:29.8423659Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,19,19,105,4,9,1,2026-09-04T13:45:06.7590089Z,42.153502406236839,43.044169206236802,0.89066679999996268,BothEyes,60,3.23000002,1,10,0.305407286,0.600000024,1,0.79999995231628418,Concave,1,1,1,1.53007877,0.879209518,1,0,0,valid
