participant_id,session_label,session_start_utc,random_seed,mapping_version,sequence_index,total_planned_trials,condition_index,repetition,eye_presentation,angular_diameter_deg,magnification,motion_mode,stimulus_k,sweep_direction,dot_seed
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,1,21,5,1,BothEyes,70,10,SimulatedYaw,0.699999988,LeftFirst,34865
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,2,21,1,3,BothEyes,70,10,SimulatedYaw,0,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,3,21,6,3,BothEyes,70,10,SimulatedYaw,0.850000024,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,4,21,2,1,BothEyes,70,10,SimulatedYaw,0.300000012,LeftFirst,34865
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,5,21,6,2,BothEyes,70,10,SimulatedYaw,0.850000024,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,6,21,1,1,BothEyes,70,10,SimulatedYaw,0,LeftFirst,34865
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,7,21,6,1,BothEyes,70,10,SimulatedYaw,0.850000024,LeftFirst,34865
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,8,21,7,2,BothEyes,70,10,SimulatedYaw,1,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,9,21,5,3,BothEyes,70,10,SimulatedYaw,0.699999988,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,10,21,2,3,BothEyes,70,10,SimulatedYaw,0.300000012,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,11,21,5,2,BothEyes,70,10,SimulatedYaw,0.699999988,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,12,21,4,1,BothEyes,70,10,SimulatedYaw,0.600000024,LeftFirst,34865
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,13,21,4,2,BothEyes,70,10,SimulatedYaw,0.600000024,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,14,21,7,3,BothEyes,70,10,SimulatedYaw,1,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,15,21,7,1,BothEyes,70,10,SimulatedYaw,1,LeftFirst,34865
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,16,21,3,3,BothEyes,70,10,SimulatedYaw,0.5,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,17,21,1,2,BothEyes,70,10,SimulatedYaw,0,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,18,21,4,3,BothEyes,70,10,SimulatedYaw,0.600000024,LeftFirst,53217
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,19,21,2,2,BothEyes,70,10,SimulatedYaw,0.300000012,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,20,21,3,2,BothEyes,70,10,SimulatedYaw,0.5,RightFirst,44041
pilot_001,random_dot_k_pilot,2026-09-03T13:10:19.8596731Z,20260901,merlitz-instrument-k-directional-v1,21,21,3,1,BothEyes,70,10,SimulatedYaw,0.5,LeftFirst,34865
