participant_id,session_label,session_start_utc,random_seed,mapping_version,sequence_index,total_planned_trials,condition_index,repetition,eye_presentation,angular_diameter_deg,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,oomes_endpoint_equivalent
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,1,21,5,1,BothEyes,90,10,0.176326980708465,0.5,1
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,2,21,1,3,BothEyes,90,10,0.176326980708465,1.20000005,-0.40000009536743164
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,3,21,6,3,BothEyes,90,10,0.176326980708465,0.400000006,1.199999988079071
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,4,21,2,1,BothEyes,90,10,0.176326980708465,1,0
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,5,21,6,2,BothEyes,90,10,0.176326980708465,0.400000006,1.199999988079071
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,6,21,1,1,BothEyes,90,10,0.176326980708465,1.20000005,-0.40000009536743164
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,7,21,6,1,BothEyes,90,10,0.176326980708465,0.400000006,1.199999988079071
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,8,21,7,2,BothEyes,90,10,0.176326980708465,0.200000003,1.5999999940395355
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,9,21,5,3,BothEyes,90,10,0.176326980708465,0.5,1
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,10,21,2,3,BothEyes,90,10,0.176326980708465,1,0
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,11,21,5,2,BothEyes,90,10,0.176326980708465,0.5,1
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,12,21,4,1,BothEyes,90,10,0.176326980708465,0.600000024,0.79999995231628418
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,13,21,4,2,BothEyes,90,10,0.176326980708465,0.600000024,0.79999995231628418
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,14,21,7,3,BothEyes,90,10,0.176326980708465,0.200000003,1.5999999940395355
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,15,21,7,1,BothEyes,90,10,0.176326980708465,0.200000003,1.5999999940395355
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,16,21,3,3,BothEyes,90,10,0.176326980708465,0.800000012,0.39999997615814209
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,17,21,1,2,BothEyes,90,10,0.176326980708465,1.20000005,-0.40000009536743164
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,18,21,4,3,BothEyes,90,10,0.176326980708465,0.600000024,0.79999995231628418
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,19,21,2,2,BothEyes,90,10,0.176326980708465,1,0
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,20,21,3,2,BothEyes,90,10,0.176326980708465,0.800000012,0.39999997615814209
pilot_001,checkerboard_pilot,2026-09-03T15:04:32.1831393Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,21,21,3,1,BothEyes,90,10,0.176326980708465,0.800000012,0.39999997615814209
