participant_id,session_label,session_start_utc,random_seed,mapping_version,presentation_index,sequence_index,total_planned_trials,condition_index,repetition,attempt_number,trial_start_utc,trial_start_unity_s,stimulus_end_unity_s,response_window_start_unity_s,trial_end_unity_s,stimulus_duration_s,noise_mask_duration_s,response_time_s,eye_presentation,angular_diameter_deg,aperture_edge_softness_deg,circular_aperture_enabled,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,response,valid_for_analysis,fixation_sample_valid,fixation_inside_tolerance,fixation_angle_deg,continuous_fixation_s,fixation_valid_sample_fraction,longest_off_target_s,longest_invalid_gaze_s,status
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,1,1,105,1,14,1,2026-09-18T16:32:42.8727366Z,47.58552010385489,48.195677403854859,48.196172603854791,48.987580703854803,0.61015729999996893,0.79140810000001238,0.79140810000001238,BothEyes,70,3,1,8,0.200713113,1.20000005,1,-0.40000009536743164,Convex,1,1,1,1.93350577,1.39135432,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,2,2,105,7,14,1,2026-09-18T16:32:45.0952983Z,49.808663303854871,50.409362703854811,50.409368403854899,51.384947303854858,0.60069939999993949,0.9755788999999595,0.9755788999999595,BothEyes,70,3,1,8,0.200713113,0.200000003,1,1.5999999940395355,Concave,1,1,1,2.05652261,1.56800175,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,3,3,105,6,11,1,2026-09-18T16:32:47.4927674Z,52.205915803854793,52.817073403854863,52.81708030385488,53.928979003854863,0.61115760000006958,1.1118986999999834,1.1118986999999834,BothEyes,70,3,1,8,0.200713113,0.400000006,1,1.199999988079071,Concave,1,1,1,1.78914464,1.71176589,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,4,4,105,3,6,1,2026-09-18T16:32:50.0511654Z,54.76450630385483,55.375709003854865,55.37571720385489,56.517650703854827,0.61120270000003529,1.1419334999999364,1.1419334999999364,BothEyes,70,3,1,8,0.200713113,0.800000012,1,0.39999997615814209,Concave,1,1,1,1.86634493,1.73066688,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,5,5,105,4,12,1,2026-09-18T16:32:52.6279514Z,57.340805403854858,57.950800403854885,57.950806503854835,58.906275503854829,0.60999500000002627,0.95546899999999368,0.95546899999999368,BothEyes,70,3,1,8,0.200713113,0.600000024,1,0.79999995231628418,Concave,1,1,1,2.00827837,1.55515385,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,6,6,105,6,7,1,2026-09-18T16:32:55.0298643Z,59.742589403854879,60.353339303854852,60.35334830385483,61.362859403854884,0.61074989999997342,1.0095111000000543,1.0095111000000543,BothEyes,70,3,1,8,0.200713113,0.400000006,1,1.199999988079071,Concave,1,1,1,2.47922945,1.5980674,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,7,7,105,7,7,1,2026-09-18T16:32:57.4715599Z,62.184349703854821,62.79502460385487,62.795033103854792,63.663940703854848,0.61067490000004909,0.86890760000005685,0.86890760000005685,BothEyes,70,3,1,8,0.200713113,0.200000003,1,1.5999999940395355,Concave,1,1,1,2.17447901,1.46786416,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,8,8,105,4,3,1,2026-09-18T16:32:59.7818077Z,64.495159403854871,65.106377003854902,65.106382603854797,66.006378103854843,0.61121760000003178,0.89999550000004547,0.89999550000004547,BothEyes,70,3,1,8,0.200713113,0.600000024,1,0.79999995231628418,Convex,1,1,1,1.93107486,1.50046647,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,9,9,105,3,8,1,2026-09-18T16:33:02.1260896Z,66.839405103854858,67.439707803854901,67.439713503854875,68.650719803854884,0.60030270000004293,1.2110063000000082,1.2110063000000082,BothEyes,70,3,1,8,0.200713113,0.800000012,1,0.39999997615814209,Convex,1,1,1,2.16636324,1.80019546,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,10,10,105,1,10,1,2026-09-18T16:33:04.7593699Z,69.472515503854822,70.073117503854803,70.073123803854799,71.131897003854817,0.60060199999998076,1.0587732000000187,1.0587732000000187,BothEyes,70,3,1,8,0.200713113,1.20000005,1,-0.40000009536743164,Convex,1,1,1,2.13056254,1.64820766,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,11,11,105,3,4,1,2026-09-18T16:33:07.2483830Z,71.962119103854832,72.573125403854817,72.573131103854791,72.751152203854815,0.61100629999998546,0.17802110000002358,0.17802110000002358,BothEyes,70,3,1,8,0.200713113,0.800000012,1,0.39999997615814209,Concave,1,1,1,2.36802459,0.778247893,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,12,12,105,2,14,1,2026-09-18T16:33:08.8711978Z,73.583980903854865,74.184473603854883,74.184479903854879,74.928896503854901,0.60049270000001798,0.7444166000000223,0.7444166000000223,BothEyes,70,3,1,8,0.200713113,1,1,0,Convex,1,1,1,2.40558243,1.33049297,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,13,13,105,7,2,1,2026-09-18T16:33:11.0380279Z,75.750871203854842,76.361329003854792,76.361334403854869,77.262755803854873,0.6104577999999492,0.90142140000000381,0.90142140000000381,BothEyes,70,3,1,8,0.200713113,0.200000003,1,1.5999999940395355,Concave,1,1,1,2.20415854,1.50083148,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,14,14,105,5,8,1,2026-09-18T16:33:13.3712079Z,78.084356903854825,78.695058903854886,78.695065303854847,79.728853303854805,0.61070200000006025,1.0337879999999586,1.0337879999999586,BothEyes,70,3,1,8,0.200713113,0.5,1,1,Concave,1,1,1,2.15513158,1.63340926,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,15,15,105,4,14,1,2026-09-18T16:33:15.8382816Z,80.551239503854902,81.161632803854843,81.161640103854836,82.165367603854804,0.61039329999994152,1.0037274999999681,1.0037274999999681,BothEyes,70,3,1,8,0.200713113,0.600000024,1,0.79999995231628418,Concave,1,1,1,1.97298324,1.60282922,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,16,16,105,1,5,1,2026-09-18T16:33:18.2830659Z,82.995831803854855,83.598609903854879,83.598618203854869,84.220943703854857,0.60277810000002319,0.6223254999999881,0.6223254999999881,BothEyes,70,3,1,8,0.200713113,1.20000005,1,-0.40000009536743164,Convex,1,1,1,2.37380338,1.21434665,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,17,17,105,3,9,1,2026-09-18T16:33:20.3273100Z,85.040246203854792,85.651295603854862,85.6513024038548,86.629010403854807,0.61104940000006991,0.9777080000000069,0.9777080000000069,BothEyes,70,3,1,8,0.200713113,0.800000012,1,0.39999997615814209,Concave,1,1,1,1.80894279,1.57747483,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,18,18,105,2,1,1,2026-09-18T16:33:22.7514344Z,87.464668403854887,88.076204303854809,88.07621110385486,88.962466103854865,0.61153589999992164,0.88625500000000557,0.88625500000000557,BothEyes,70,3,1,8,0.200713113,1,1,0,Convex,1,1,1,2.14018607,1.4783814,1,0,0,valid
pilot_td,checkerboard_pilot,2026-09-18T16:32:40.4209680Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,19,19,105,4,9,1,2026-09-18T16:33:25.0851521Z,89.798453103854797,90.409424203854826,90.409431503854819,91.35487130385485,0.61097110000002885,0.94543980000003103,0.94543980000003103,BothEyes,70,3,1,8,0.200713113,0.600000024,1,0.79999995231628418,Convex,1,1,1,2.09564495,1.53444111,1,0,0,valid
